X,Y
-121.74722686,38.5376087
-121.74722114,38.53763328
-121.74720895,38.53765662
-121.74719394,38.53768341
-121.74717808,38.53771504
-121.74715895,38.53775043
-121.74713887,38.53778672
-121.74712069,38.53782863
-121.74710303,38.53787132
-121.7470826,38.53791549
-121.74706029,38.53795657
-121.74704026,38.53800144
-121.74702285,38.5380488
-121.74700702,38.53809224
-121.74699186,38.53813197
-121.7469757,38.53817077
-121.74695714,38.53820797
-121.7469383,38.53824448
-121.74691757,38.53827918
-121.74689113,38.53831571
-121.74685987,38.53835084
-121.74682862,38.53838806
-121.74680828,38.53840732
-121.74678803,38.538425
-121.74676949,38.53844654
-121.74674816,38.53847005
-121.74674199,38.53847101
-121.74673047,38.53847068
-121.74672214,38.53847557
-121.74670683,38.5384858
-121.74669413,38.53848959
-121.74668032,38.53849393
-121.74666466,38.53849823
-121.74664766,38.5385032
-121.74662552,38.53851093
-121.74659803,38.53852312
-121.74657677,38.53853178
-121.74655268,38.53854199
-121.74652703,38.53855279
-121.74648201,38.53856681
-121.74643356,38.53857626
-121.74638019,38.53858506
-121.74632037,38.53859318
-121.74625777,38.53860295
-121.74620485,38.53861431
-121.74615592,38.53862783
-121.74611021,38.53864189
-121.74606966,38.53866026
-121.74603231,38.53868174
-121.7459971,38.53870585
-121.74596449,38.53873031
-121.74593045,38.53875787
-121.74589434,38.53879195
-121.74585535,38.53883064
-121.74581485,38.53887229
-121.74577863,38.53891579
-121.74574206,38.53896081
-121.74570542,38.53900541
-121.74566375,38.53904899
-121.74561942,38.53909247
-121.74557236,38.5391355
-121.74552187,38.53917528
-121.74547012,38.53921343
-121.74541816,38.53925358
-121.74536135,38.53929028
-121.74530394,38.53932514
-121.74524466,38.53935501
-121.74518445,38.53938133
-121.74511862,38.53940747
-121.74505335,38.53943303
-121.7449862,38.53945778
-121.74491753,38.53948194
-121.74484981,38.53950731
-121.74478681,38.53953327
-121.74472589,38.53956016
-121.74466752,38.53958496
-121.74461637,38.53961023
-121.74457235,38.53963679
-121.74453326,38.53966294
-121.74449375,38.53968914
-121.74444878,38.53971347
-121.74440401,38.53973815
-121.74436057,38.5397626
-121.74431508,38.53978576
-121.7442735,38.53980697
-121.74423131,38.53982415
-121.74418451,38.53983958
-121.74413424,38.53985448
-121.74408069,38.53986674
-121.74402775,38.53987945
-121.74397861,38.53989187
-121.74392657,38.53990304
-121.74387394,38.53991265
-121.7438217,38.53992109
-121.74376947,38.53992853
-121.74371627,38.53993535
-121.74366118,38.53994068
-121.74360293,38.5399446
-121.74354455,38.53994838
-121.74348788,38.5399514
-121.74343383,38.53995024
-121.7434023,38.539949
-121.74337373,38.53994992
-121.74335136,38.53994937
-121.74333232,38.53994879
-121.74331535,38.5399465
-121.74329961,38.5399428
-121.7432823,38.53993769
-121.74326179,38.53993205
-121.74324767,38.53992996
-121.74323062,38.53992498
-121.74321189,38.53991976
-121.7431875,38.53991952
-121.74315641,38.53992101
-121.74313322,38.53992318
-121.74310812,38.53992579
-121.74308295,38.53992789
-121.74305324,38.53992668
-121.74301764,38.53992486
-121.74297219,38.53992304
-121.74291781,38.53991933
-121.74285556,38.53991571
-121.74279112,38.53991357
-121.74272695,38.53991279
-121.74266414,38.53991168
-121.74260438,38.5399097
-121.742544,38.53990639
-121.74248568,38.53990397
-121.74243087,38.53990314
-121.74238217,38.53990243
-121.74233796,38.53989924
-121.74229969,38.53989628
-121.74226864,38.539894
-121.74224231,38.53989166
-121.74222296,38.53988841
-121.74220911,38.53988713
-121.74219828,38.5398879
-121.74218824,38.53988768
-121.74217881,38.5398886
-121.74216938,38.53989001
-121.74216105,38.53989192
-121.74215417,38.53989717
-121.74214582,38.53990357
-121.74213685,38.53991178
-121.7421244,38.53992183
-121.74210543,38.53993282
-121.74208657,38.53994458
-121.74206886,38.53995677
-121.74205322,38.53996811
-121.7420377,38.53997857
-121.74202341,38.53998743
-121.7420101,38.53999665
-121.74199634,38.54000617
-121.74198161,38.54001507
-121.74196562,38.54002964
-121.74195099,38.54004716
-121.74193773,38.54006576
-121.74192245,38.54008698
-121.74190673,38.54011143
-121.74189234,38.54013785
-121.74187616,38.54016574
-121.741861,38.54019466
-121.74184722,38.54022341
-121.74183551,38.54025023
-121.74182458,38.54027407
-121.74181517,38.54029843
-121.7418083,38.54032297
-121.7418097,38.54034368
