X,Y
136.61,154.75
136.67,155.51
136.81,156.24
136.99,157.08
137.18,158.06
137.4,159.17
137.63,160.3
137.85,161.61
138.05,162.94
138.29,164.32
138.55,165.6
138.79,167.0
138.99,168.48
139.18,169.83
139.35,171.07
139.54,172.29
139.76,173.45
139.98,174.59
140.22,175.67
140.53,176.81
140.9,177.9
141.26,179.07
141.5,179.67
141.74,180.22
141.96,180.89
142.21,181.62
142.28,181.65
142.41,181.64
142.51,181.8
142.69,182.12
142.84,182.23
143.0,182.37
143.18,182.5
143.38,182.66
143.64,182.9
143.96,183.28
144.21,183.55
144.49,183.87
144.79,184.21
145.32,184.64
145.89,184.94
146.51,185.21
147.21,185.47
147.94,185.77
148.56,186.13
149.13,186.55
149.67,186.99
150.14,187.56
150.58,188.23
150.99,188.98
151.37,189.75
151.77,190.61
152.2,191.67
152.65,192.88
153.13,194.18
153.55,195.53
153.98,196.94
154.41,198.33
154.89,199.69
155.41,201.05
155.96,202.39
156.55,203.63
157.16,204.82
157.77,206.08
158.43,207.22
159.1,208.31
159.8,209.24
160.5,210.06
161.27,210.88
162.03,211.68
162.82,212.45
163.62,213.2
164.42,213.99
165.15,214.8
165.87,215.64
166.55,216.42
167.15,217.21
167.66,218.03
168.12,218.85
168.58,219.67
169.11,220.43
169.63,221.2
170.14,221.96
170.67,222.68
171.16,223.34
171.65,223.88
172.2,224.36
172.79,224.83
173.41,225.21
174.03,225.61
174.61,225.99
175.22,226.34
175.83,226.64
176.44,226.91
177.06,227.14
177.68,227.35
178.32,227.52
179.0,227.64
179.69,227.76
180.35,227.85
180.98,227.82
181.35,227.78
181.69,227.81
181.95,227.79
182.17,227.77
182.37,227.7
182.55,227.58
182.75,227.42
182.99,227.25
183.16,227.18
183.36,227.03
183.58,226.86
183.86,226.86
184.23,226.9
184.5,226.97
184.79,227.05
185.09,227.12
185.43,227.08
185.85,227.02
186.38,226.97
187.02,226.85
187.75,226.74
188.5,226.67
189.25,226.65
189.99,226.61
190.69,226.55
191.39,226.45
192.07,226.37
192.72,226.35
193.29,226.32
193.8,226.22
194.25,226.13
194.61,226.06
194.92,225.99
195.15,225.89
195.31,225.85
195.44,225.87
195.55,225.86
195.67,225.89
195.78,225.94
195.87,226.0
195.95,226.16
196.05,226.36
196.16,226.62
196.3,226.93
196.52,227.27
196.74,227.64
196.95,228.02
197.13,228.37
197.32,228.7
197.48,228.98
197.64,229.26
197.8,229.56
197.97,229.84
198.16,230.29
198.33,230.84
198.49,231.42
198.66,232.08
198.85,232.85
199.02,233.67
199.21,234.54
199.38,235.44
199.54,236.34
199.68,237.18
199.81,237.92
199.92,238.68
200.0,239.45
199.98,240.09
199.88,240.51
199.68,240.86
199.42,241.23
199.1,241.54
198.7,241.83
198.28,242.01
197.81,242.14
197.32,242.2
196.85,242.13
196.37,242.05
195.91,241.82
195.46,241.59
194.98,241.32
194.5,240.98
194.13,240.69
193.79,240.39
193.46,240.08
193.09,239.94
192.79,239.82
192.46,239.71
192.2,239.56
191.94,239.39
191.69,239.25
191.43,239.14
191.15,239.02
190.85,238.86
190.57,238.68
190.28,238.53
189.94,238.35
189.65,238.14
189.27,237.92
188.9,237.74
188.5,237.53
188.13,237.31
187.79,237.05
187.41,236.69
187.08,236.44
186.77,236.2
186.45,236.05
186.09,235.98
185.78,235.99
185.45,236.04
185.07,236.14
184.64,236.34
184.16,236.64
183.62,236.94
183.1,237.21
182.58,237.42
182.06,237.6
181.58,237.82
181.1,238.09
180.59,238.33
180.11,238.51
179.55,238.56
178.95,238.48
178.26,238.27
177.57,238.0
176.88,237.68
176.15,237.39
175.44,237.14
174.71,236.91
173.95,236.71
173.22,236.45
172.47,236.17
171.74,235.86
170.99,235.63
170.25,235.38
169.5,235.2
168.78,235.06
168.12,234.99
167.49,235.01
166.93,235.07
166.41,235.19
165.93,235.33
165.47,235.48
165.06,235.63
164.7,235.82
164.34,235.94
164.02,236.04
163.72,236.12
163.41,236.22
163.08,236.24
162.74,236.12
162.37,235.87
161.97,235.6
161.56,235.31
161.12,235.0
160.67,234.62
160.25,234.23
159.84,233.84
159.42,233.45
159.0,233.07
158.57,232.72
158.16,232.47
157.76,232.41
157.4,232.52
157.05,232.8
156.72,233.2
156.43,233.67
156.15,234.09
155.86,234.42
155.56,234.7
155.23,234.96
154.86,235.2
154.55,235.42
154.21,235.63
153.84,235.77
153.44,235.84
153.05,235.8
152.65,235.67
152.27,235.44
151.88,235.21
151.5,234.99
151.06,234.77
150.63,234.5
150.24,234.19
149.87,233.92
149.55,233.68
149.23,233.39
148.93,233.1
148.64,232.81
148.31,232.54
147.99,232.22
147.65,231.86
147.32,231.51
146.96,231.19
146.59,230.84
146.23,230.48
145.85,230.11
145.5,229.72
145.14,229.35
144.78,228.99
144.39,228.58
144.01,228.08
143.66,227.54
143.33,227.01
143.01,226.51
142.72,226.06
142.46,225.63
142.26,225.32
142.24,225.21
142.32,225.25
142.46,225.36
142.59,225.57
142.69,225.89
142.76,226.29
142.77,226.86
142.76,227.47
142.75,228.09
142.75,228.73
142.74,229.44
142.74,230.18
142.76,230.88
142.8,231.5
142.82,231.96
142.82,232.36
142.83,232.6
142.81,232.79
142.77,232.91
142.71,233.0
142.59,233.07
142.47,233.11
142.33,233.13
142.23,233.11
142.11,233.1
141.99,233.06
141.89,232.98
141.79,232.91
141.67,232.86
141.56,232.78
141.45,232.71
141.33,232.67
141.23,232.56
141.15,232.55
141.03,232.53
140.86,232.44
140.65,232.35
140.46,232.28
140.28,232.18
140.06,232.0
139.84,231.85
139.63,231.78
139.46,231.74
139.33,231.76
139.21,231.73
139.1,231.62
138.98,231.48
138.81,231.35
138.61,231.19
138.36,231.07
138.09,230.93
137.83,230.88
137.57,230.91
137.33,230.97
137.11,231.12
136.91,231.38
136.68,231.71
136.39,232.06
136.14,232.35
135.96,232.61
135.74,232.91
135.52,233.25
135.3,233.61
135.08,234.01
134.87,234.42
134.66,234.84
134.47,235.22
134.24,235.55
134.01,235.83
133.78,236.07
133.51,236.26
133.2,236.43
132.9,236.5
132.59,236.57
132.25,236.58
131.87,236.62
131.52,236.68
131.15,236.72
130.83,236.76
130.56,236.84
130.34,236.89
130.09,236.99
129.82,237.26
129.54,237.75
129.26,238.38
129.02,239.19
128.78,240.11
128.55,241.1
128.35,242.13
128.18,243.12
128.03,244.06
127.91,244.94
127.78,245.73
127.66,246.49
127.53,247.21
127.41,247.92
127.3,248.55
127.21,249.16
127.12,249.76
127.02,250.3
126.91,250.75
126.81,251.09
126.7,251.34
126.57,251.6
126.43,251.85
126.3,252.22
126.19,252.64
126.11,253.11
126.05,253.59
125.99,254.15
125.93,254.74
125.86,255.47
125.82,256.3
125.77,257.19
125.71,258.16
125.66,259.11
125.57,260.02
125.46,260.86
125.33,261.66
125.18,262.47
125.05,263.27
124.89,263.98
124.75,264.72
124.61,265.44
124.49,266.15
124.37,266.94
124.24,267.78
124.1,268.58
123.95,269.5
123.81,270.43
123.7,271.46
123.6,272.53
123.51,273.55
123.44,274.5
123.37,275.39
123.31,276.25
123.23,277.13
123.13,277.99
123.03,278.82
122.92,279.56
122.83,280.36
122.73,281.21
122.59,282.05
122.43,282.97
122.24,283.85
122.07,284.8
121.92,285.85
121.83,286.72
121.75,287.39
121.65,287.94
121.51,288.33
121.34,288.69
121.14,288.93
120.91,289.08
120.67,289.12
120.39,289.12
120.1,288.99
119.78,288.72
119.43,288.4
119.07,288.04
118.64,287.65
118.19,287.25
117.71,286.89
117.22,286.55
116.71,286.21
116.22,285.91
115.78,285.58
115.34,285.21
114.9,284.9
114.42,284.59
113.97,284.3
113.55,284.1
113.08,284.03
112.62,284.08
112.16,284.33
111.68,284.81
111.26,285.44
110.94,286.43
110.69,287.54
110.53,288.72
110.49,289.96
110.54,291.18
110.66,292.4
110.83,293.62
111.01,294.74
111.21,295.76
111.36,296.55
111.47,297.21
111.55,297.76
111.56,298.24
111.48,298.73
111.4,299.15
111.34,299.45
111.33,299.57
111.33,299.54
111.31,299.45
111.29,299.51
111.27,299.61
111.23,299.76
111.14,300.0
111.08,299.96
111.02,299.57
110.91,298.7
110.78,297.5
110.66,296.02
110.59,294.4
110.54,292.77
110.52,291.11
110.5,289.52
110.46,287.89
110.41,286.26
110.4,284.65
110.45,283.16
110.5,281.64
110.58,280.21
110.67,278.83
110.79,277.43
110.93,276.05
111.06,274.56
111.21,273.01
111.35,271.36
111.47,270.3
111.57,269.34
111.65,268.53
111.74,267.75
111.86,266.78
111.97,266.08
112.1,265.38
